Abbreviation,GeoJSON Zone Name
Umm Hurair 2,UMM HURAIR SECOND
Umm Nahad 1,UMM NAHAD FIRST
Umm Nahad 4,UMM NAHAD FOURTH
Umm Nahad 2,UMM NAHAD SECOND
Umm Nahad 3,UMM NAHAD THIRD
Umm Ramool,UMM RAMOOL
Umm Suqeim 1,UMM SUQEIM FIRST
Umm Suqeim 2,UMM SUQEIM SECOND
Umm Suqeim 3,UMM SUQEIM THIRD
Wadi Safa 2,WADI AL SAFA 2
Wadi Safa 3,WADI AL SAFA 3
Wadi Safa 4,WADI AL SAFA 4
Wadi Safa 5,WADI AL SAFA 5
Wadi Safa 6,WADI AL SAFA 6
Wadi Safa 7,WADI AL SAFA 7
Wadi Alamardi,WADI ALAMARDI
Wadi Alshabak,WADI ALSHABAK
Warsan 1,WARSAN FIRST
Warsan 4,WARSAN FOURTH
Warsan 2,WARSAN SECOND
Warsan 3,WARSAN THIRD
World Islands,WORLD ISLANDS
Yaraah,YARAAH
Zaa'Beel 1,ZAA'BEEL FIRST
Zaa'Beel 2,ZAA'BEEL SECOND
