GeoJSON_Zone_Name,Official_DLD_Name_Match
AL NAHDA SECOND,Al Nahda Second
AL O'SHOOSH,
AL QOUZ FIRST,Al Goze First
AL QOUZ FOURTH,Al Goze Fourth
AL QOUZ IND.FIRST,Al Goze Industrial First
AL QOUZ IND.FOURTH,Al Goze Industrial Fourth
AL QOUZ IND.SECOND,Al Goze Industrial Second
AL QOUZ IND.THIRD,Al Goze Industrial Third
AL QOUZ SECOND,Al Goze Second
AL QOUZ THIRD,Al Goze Third
AL QUSAIS FIRST,Al Qusais First
AL QUSAIS IND. FIFTH,Al Qusais Industrial Fifth
AL QUSAIS IND. FIRST,Al Qusais Industrial First
AL QUSAIS IND. FOURTH,Al Qusais Industrial Fourth
AL QUSAIS IND. SECOND,Al Qusais Industrial Second
AL QUSAIS IND. THIRD,Al Qusais Industrial Third
AL QUSAIS SECOND,Al Qusais Second
AL QUSAIS THIRD,
AL RAFFA,Al Raffa
AL RAS,Al Ras
AL RASHIDIYA,Al Rashidiya
AL RIGGA,Al Rega
AL ROWAIYAH FIRST,Al Rowaiyah First
AL ROWAIYAH SECOND,
AL ROWAIYAH THIRD,Al Rowaiyah Third
AL SABKHA,Al Sabkha
AL SAFA FIRST,Al Saffa First
AL SAFA SECOND,Al Saffa Second
AL SAFOUH FIRST,Al Safouh First
AL SAFOUH SECOND,Al Safouh Second
AL SATWA,Al Satwa
AL SELAL,
AL SHINDAGHA,
AL SOUQ AL KABEER,Al Suq Al Kabeer
AL THANYAH  FOURTH,Al Thanayah Fourth
AL THANYAH FIFTH,Al Thanyah Fifth
AL THANYAH FIRST,Al Thanyah First
AL THANYAH SECOND,
AL THANYAH THIRD,Al Thanyah Third
AL TTAY,Al Ttay
AL TWAR FIRST,Al Twar First
AL TWAR SECOND,Al Twar Second
AL TWAR THIRD,Al Twar Third
AL WAJEHA AL BAHRIAH,Al Waheda
AL WARQA'A FIFTH,
AL WARQA'A FIRST,Al Warqa First
AL WARQA'A FOURTH,Al Warqa Fourth
AL WARQA'A SECOND,Al Warqa Second
AL WARQA'A THIRD,Al Warqa Third
AL WASL,Al Wasl
AL WOHOOSH,
AL WUHEIDA,
AL YALAYIS 1,Al Yelayiss 1
AL YALAYIS 2,Al Yelayiss 2
AL YALAYIS 3,
AL YALAYIS 4,
AL YALAYIS 5,Al Yelayiss 5
AL YUFRAH 1,Al Yufrah 1
AL YUFRAH 2,Al Yufrah 2
AL YUFRAH 3,Al Yufrah 3
AL YUFRAH 4,Al Yufrah 4
ALEYAS,Al Eyas
AYAL NASIR,Eyal Nasser
BU KADRA,Bukadra
BURJ KHALIFA,Burj Khalifa
BUSINESS BAY,Business Bay
CORNICHE DEIRA,Al-Cornich
DUBAI INT'L AIRPORT,Dubai International Airport
DUBAI INVESTMENT PARK FIRST,Dubai Investment Park First
DUBAI INVESTMENT PARK SECOND,Dubai Investment Park Second
ENKHALI,Al-Nakhal
GHADEER BARASHY,
GRAYTEESAH,Grayteesah
HADAEQ SHEIKH MOHAMMED BIN RASHID,Hadaeq Sheikh Mohammed Bin Rashid
HATTA,Hatta
HEFAIR,
HESSYAN FIRST,Hessyan First
HESSYAN SECOND,Hessyan Second
HOR AL ANZ,Hor Al Anz
HOR AL ANZ EAST,Hor Al Anz East
JABAL ALI FIRST,Jabal Ali First
JABAL ALI INDUSTRIAL FIRST,Jabal Ali Industrial First
JABAL ALI INDUSTRIAL SECOND,Jabal Ali Industrial Second
JABAL ALI INDUSTRIAL THIRD,Jabal Ali Industrial Third
JABAL ALI SECOND,
JABAL ALI THIRD,Jabal Ali Third
JUMEIRA BAY,
JUMEIRA FIRST,Jumeirah First
JUMEIRA ISLAND 2,Island 2
JUMEIRA SECOND,Jumeirah Second
JUMEIRA THIRD,Jumeirah Third
LE HEMAIRA,Le Hemaira
LEHBAB FIRST,Lehbab First
LEHBAB SECOND,Lehbab Second
MADINAT AL MATAAR,Madinat Al Mataar
MADINAT DUBAI AL MELAHEYAH,Madinat Dubai Almelaheyah
MANKHOOL,Mankhool
MARGAB,Muragab
MARGHAM,Margham
MARSA DUBAI,Marsa Dubai
ME'AISEM FIRST,Me'Aisem First
ME'AISEM SECOND,Me'Aisem Second
MENA JABAL ALI,Mena Jabal Ali
MEREIYEEL,
MIRDIF,Mirdif
MUGATRAH,Mugatrah
MUHAISANAH FIFTH,
MUHAISANAH FOURTH,Muhaisanah Fourth
MUHAISANAH SECOND,Muhaisanah Second
MUHAISANAH THIRD,Muhaisanah Third
MUHAISNAH FIRST,Muhaisanah First
MUSHRAIF,Mushrif
NADD AL HAMAR,Nad Al Hamar
NADD AL SHIBA FIRST,Nad Al Shiba First
NADD AL SHIBA FOURTH,Nad Al Shiba Fourth
NADD AL SHIBA SECOND,Nad Al Shiba Second
NADD AL SHIBA THIRD,Nad Al Shiba Third
NADD HESSA,Nadd Hessa
NADD SHAMMA,Nad Shamma
NAIF,Naif
NAKHLAT DEIRA,Palm Deira
NAKHLAT JABAL ALI,Palm Jabal Ali
NAKHLAT JUMEIRA,Palm Jumeirah
NAZWAH,Nazwah
OUD AL MUTEENA FIRST,Oud Al Muteena First
OUD AL MUTEENA SECOND,
OUD AL MUTEENA THIRD,
OUD METHA,Oud Metha
PORT SAEED,Port Saeed
RAS AL KHOR,Ras Al Khor
RAS AL KHOR IND. FIRST,Ras Al Khor Industrial First
RAS AL KHOR IND. SECOND,Ras Al Khor Industrial Second
RAS AL KHOR IND. THIRD,Ras Al Khor Industrial Third
REMAH,Remah
RIGGAT AL BUTEEN,Rega Al Buteen
SAIH AL DAHAL,Saih Aldahal
SAIH AL SALAM,
SAIH SHUA'ALAH,
SAIH SHUAIB 1,Saih Shuaib 1
SAIH SHUAIB 2,Saih Shuaib 2
SAIH SHUAIB 3,Saih Shuaib 3
SAIH SHUAIB 4,Saih Shuaib 4
TRADE CENTER FIRST,Trade Center First
TRADE CENTER SECOND,Trade Center Second
UMM AL DAMAN,Umm Addamin
UMM AL MO'MENEEN,
UMM AL SHEIF,Um Al Sheif
UMM ESELAY,Um Esalay
UMM HURAIR FIRST,Um Hurair First
UMM HURAIR SECOND,Um Hurair Second
UMM NAHAD FIRST,
UMM NAHAD FOURTH,
UMM NAHAD SECOND,
UMM NAHAD THIRD,
UMM RAMOOL,Um Ramool
UMM SUQEIM FIRST,Um Suqaim First
UMM SUQEIM SECOND,Um Suqaim Second
UMM SUQEIM THIRD,Um Suqaim Third
WADI AL SAFA 2,Wadi Al Safa 2
WADI AL SAFA 3,Wadi Al Safa 3
WADI AL SAFA 4,Wadi Al Safa 4
WADI AL SAFA 5,Wadi Al Safa 5
WADI AL SAFA 6,Wadi Al Safa 6
WADI AL SAFA 7,Wadi Al Safa 7
WADI ALAMARDI,Wadi Al Amardi
WADI ALSHABAK,
WARSAN FIRST,
WARSAN FOURTH,Warsan Fourth
WARSAN SECOND,
WARSAN THIRD,
WORLD ISLANDS,World Islands
YARAAH,
ZAA'BEEL FIRST,Zaabeel First
ZAA'BEEL SECOND,Zaabeel Second
,Al Khairan  Second
,Al Khawaneej
,Al Qoaz
,Al Mizhar
,Al Mizhar Third
,Al Musalla (Dubai)
,Al Qusais
,Al Ruwayyah
,Al Safaa
,Al Twar Fourth
,Al Warsan First
,Al Warsan Second
,Al Warsan Third
,Al-Aweer
,Al Asbaq
,AL Athbah
,Al Baharna
,Al Barsha
,Al Fahidi
,Al-Bastakiyah
,Al-Dzahiyyah Al-Jadeedah
,Al-Muhaisnah North
,Al-Murar Jadeed
,Al-Murar Qadeem
,Al-Musalla (Deira)
,Al-Mustashfa West
,Al-Nahdah
,Al-Qiyadah
,Al-Raulah
,Al-Riqqa East
,Al-Riqqa West
,Al-Safiyyah
,Al-Shumaal
,Al-Souq Al Kabeer (Deira)
,Al-Tawar
,Al-Zarouniyyah
,Burj Nahar
,Festival City First
,Ghadeer Al tair
,Jabal Ali
,Jumeirah
,Lehbab
,Madinat Hind 1
,Madinat Hind 2
,Madinat Hind 3
,Madinat Hind 4
,Madinat Latifa
,Muashrah Al Bahraana
,Muhaisna
,Nad Al Shiba
,Nad Rashid
,Naif North
,Naif South
,Shandagha East
,Sikkat Al Khail North
,Sikkat Al Khail South
,Tawaa Al Sayegh
,Tawi Al Muraqqab
,Um Suqaim
,Zareeba Duviya
